gene,rxn
lp_1076,YUMPS
lp_1076,PSUDS
lp_1083,TKT1
lp_1083,TKT2
lp_1084,SHK3Dr
lp_1085,CHORM
lp_1085,DDPA
lp_1086,DHQS
lp_1089,TARTD
lp_1090,TARTD
lp_1093,CITL
lp_1095,MNabc
lp_1096,MNabc
lp_1097,MNabc
lp_1101,LDH_L
lp_1105,ME1
lp_1106,CITL
lp_1107,CITL
lp_1108,CITL
lp_1109,CITL
lp_1112,FUM
lp_1114,CITL
lp_1118,MALLAC
lp_1119,MALt2r
lp_1125,CYTB_B2
lp_1126,CYTB_B2
lp_1128,CYTB_B2
lp_1129,CYTB_B2
lp_1134,UDCPDPS
lp_1139,XPPT
lp_1141,AIRC
lp_1147,GLNTAL
lp_1148,GLNTAL
lp_1149,GLNTAL
lp_1169,GLUDy
lp_1173,UAG2E
lp_1175,GLYCt1
lp_1176,UDPGALM
lp_1177,CPSS_LPL
lp_1177,CPSS_LPL2
lp_1178,CPSS_LPL
lp_1178,CPSS_LPL2
lp_1179,CPSS_LPL
lp_1179,CPSS_LPL2
lp_1180,CPSS_LPL
lp_1180,CPSS_LPL2
lp_1181,CPSS_LPL
lp_1181,CPSS_LPL2
lp_1182,CPSS_LPL
lp_1182,CPSS_LPL2
lp_1183,CPSS_LPL
lp_1183,CPSS_LPL2
lp_1184,CPSS_LPL
lp_1184,CPSS_LPL2
lp_1185,CPSS_LPL
lp_1185,CPSS_LPL2
lp_1186,G1PTMT
lp_1188,TDPDRE
lp_1189,TDPGDH
lp_1190,TDPDRR
lp_1197,CPSS_LPL
lp_1197,CPSS_LPL2
lp_1198,CPSS_LPL
lp_1198,CPSS_LPL2
lp_1199,CPSS_LPL
lp_1199,CPSS_LPL2
lp_1200,UDPG4E
lp_1201,CPSS_LPL
lp_1201,CPSS_LPL2
lp_1202,CPSS_LPL
lp_1202,CPSS_LPL2
lp_1203,CPSS_LPL
lp_1203,CPSS_LPL2
lp_1204,CPSS_LPL
lp_1204,CPSS_LPL2
lp_1205,CPSS_LPL
lp_1205,CPSS_LPL2
lp_1206,CPSS_LPL
lp_1206,CPSS_LPL2
lp_1215,CPSS_LPL
lp_1215,CPSS_LPL2
lp_1216,CPSS_LPL
lp_1216,CPSS_LPL2
lp_1219,UDPGALM
lp_1220,CPSS_LPL
lp_1220,CPSS_LPL2
lp_1221,CPSS_LPL
lp_1221,CPSS_LPL2
lp_1222,CPSS_LPL
lp_1222,CPSS_LPL2
lp_1224,CPSS_LPL
lp_1224,CPSS_LPL2
lp_1225,CPSS_LPL
lp_1225,CPSS_LPL2
lp_1226,CPSS_LPL
lp_1226,CPSS_LPL2
lp_1227,CPSS_LPL
lp_1227,CPSS_LPL2
lp_1245,2HXICDH
lp_1248,G3PCT
lp_1249,GLCNt2
lp_1250,GNK
lp_1251,GND
lp_1253,GTHRD
lp_1273,GALTpts
lp_1273,SUCpts
lp_1273,FRUpts
lp_1273,MANpts
lp_1273,TREpts
lp_1273,ACGApts
lp_1273,GLCpts
lp_1273,SBTpts
lp_1273,ACGALpts
lp_1273,MNLpts
lp_1273,CELBpts
lp_1273,DHAPT
lp_1274,GALTpts
lp_1274,SUCpts
lp_1274,FRUpts
lp_1274,MANpts
lp_1274,TREpts
lp_1274,ACGApts
lp_1274,GLCpts
lp_1274,SBTpts
lp_1274,ACGALpts
lp_1274,MNLpts
lp_1274,CELBpts
lp_1274,DHAPT
lp_1275,DAGGT_LPL
lp_1276,DAGGT_LPL
lp_1280,PHETA1
lp_1280,TRPTA
lp_1280,TYRTA
lp_1298,HCYSMT
lp_1299,GLTAL
lp_1301,METAT
lp_1311,GLTAL
lp_1312,GLTAL
lp_1316,LEUTRS
lp_1319,YUMPS
lp_1319,PSUDS
lp_1328,GPDDA4
lp_1328,GPDDA2
lp_1328,GPDDA5
lp_1328,GPDDA1
lp_1328,GPDDA3
lp_1329,DINSK
lp_1329,DGNSK
lp_1329,DADNK
lp_1346,ASAD
lp_1350,NOX2
lp_1350,NOX1
lp_1372,GRTAL
lp_1374,METS
lp_1375,MTHPTGHM
lp_1378,SADT
lp_1379,ADSK
lp_1385,SO4t4
lp_1391,ARGTRS
lp_1406,DARTAL
lp_1406,DALTAL
lp_1413,PGGT4
lp_1425,SUCD3BC
lp_1437,DB4PS
lp_1445,NPR
lp_1462,UAMAS
lp_1478,MPTS
lp_1479,MOADCST
lp_1479,THZPSN2
lp_1479,MPTS
lp_1480,PZS
lp_1481,NO2t3
lp_1491,MGDS
lp_1492,PZS
lp_1493,MGDS
lp_1494,MOCOS
lp_1495,PZS
lp_1496,MOADCST
lp_1497,NTRARy
lp_1497,NTRARx
lp_1498,NTRARy
lp_1498,NTRARx
lp_1499,NTRARy
lp_1499,NTRARx
lp_1500,NTRARy
lp_1500,NTRARx
lp_1510,DPCOAK
lp_1514,THRTRS
lp_1523,ASPR
lp_1530,NNAT
lp_1541,GND
lp_1554,ACYP_2
lp_1558,PHETRS
lp_1559,PHETRS
lp_1562,URIK2
lp_1562,URIK1
lp_1562,CYTDK3
lp_1562,CYTDK2
lp_1562,URIK3
lp_1562,CYTDK1
lp_1568,PGGT4
lp_1570,FTHFCL
lp_1573,HEX1
lp_1578,GPDDA4
lp_1578,GPDDA2
lp_1578,GPDDA5
lp_1578,GPDDA1
lp_1578,GPDDA3
lp_1581,GLNS
lp_1599,MTHFD
lp_1599,MTHFC
lp_1602,GRTT
lp_1602,DMATT
lp_1607,GLYBabc
lp_1607,CHLabc
lp_1608,GLYBabc
lp_1608,CHLabc
lp_1609,GLYBabc
lp_1609,CHLabc
lp_1610,GLYBabc
lp_1610,CHLabc
lp_1612,GK2
lp_1612,GK1
lp_1614,PPNCL
lp_1614,PPCDC
lp_1621,RPE
lp_1622,TMDPK
lp_1629,ACPS2
lp_1652,ANS
lp_1653,ANS
lp_1654,ANPRT
lp_1655,IGPS
lp_1656,PRAI
lp_1657,TRPS1
lp_1658,TRPS1
lp_1665,ALCD2x
lp_1665,ALCD19
lp_1670,HHYHL2
lp_1670,HTDHL6
lp_1670,HHDHL7
lp_1670,HBUHL1
lp_1670,HOCHL3
lp_1670,HODHL8
lp_1670,HDDHL5
lp_1670,HDEHL4
lp_1671,kaasIII
lp_1672,ACPS2
lp_1673,MACPMT
lp_1674,HBUR1
lp_1674,HHDR7
lp_1674,HOCR3
lp_1674,HDDR5
lp_1674,HODR8
lp_1674,HTDR6
lp_1674,HDER4
lp_1674,HHYR2
lp_1675,MCMAT6
lp_1675,MCMAT2
lp_1675,MCMAT4
lp_1675,MCMAT3
lp_1675,MCMAT5
lp_1675,MCMAT7
lp_1675,MCMAT8
lp_1676,ACCOAC
lp_1677,HHYHL2
lp_1677,HTDHL6
lp_1677,HHDHL7
lp_1677,HBUHL1
lp_1677,HOCHL3
lp_1677,HODHL8
lp_1677,HDDHL5
lp_1677,HDEHL4
lp_1678,ACCOAC
lp_1679,ACCOAC
lp_1680,ACCOAC
lp_1681,HDMAT7
lp_1681,OCMAT3
lp_1681,BTMAT1
lp_1681,DEMAT4
lp_1681,DDMAT5
lp_1681,OCDMAT8
lp_1681,TDMAT6
lp_1681,HEMAT2
lp_1696,CFAS180
lp_1713,DAPDC
lp_1721,ABTA
lp_1729,MALTt2
lp_1730,MLTP4
lp_1731,GALM
lp_1732,IPDDI
lp_1733,PMEVK
lp_1734,DPMVD
lp_1735,MEVK1
lp_1739,ASPTA2
lp_1739,PHETA1
lp_1739,ASPTA
lp_1739,ASPTA4
lp_1739,TYRTA
lp_1740,ASNTRS
lp_1751,PGGT4
lp_1779,FTHFL
lp_1781,YUMPS
