		MRS broth		Tomato juice			Wheat flour hydrolyzate			Pineapple juice			Drosophila sp. Extract			Faecal extract						Bee Extract			Olive Extract			Cheese broth	MRS broth								
GeneSymbol	GeneName	WCFS1_MRS	LB16_MRS	TJ22	TJ20	TJ19	WFH19	WFH20	WFH1W	PJ16	PJ20	PJ1	DE12	DE12II	DE24	FEO3	FEO13	FEO17	FEV3	FEV11	FEV21	BEE1ST	BEE2ST	BEE3ST	OE1	OE2	OE3	CB5	FEV11_MRS	FEO3_MRS	DE12_MRS	CB5_MRS	OE1_MRS	WFH19_MRS	TJ22_MRS	PJ16_MRS	BEE1ST_MRS
gene:lp_0700	recR	863.676	669.752	641.336	653.931	690.676	358.22	498.88	1555.4	312.341	751.914	664.22	87.3718	133.284	278.476	573.207	403.037	374.504	590.143	246.651	262.089	756.002	704.319	794.859	738.434	758.493	1158.17	240.342	510.809	574.792	1204.54	1176.32	852.22	589.998	473.894	590.007	446.088
gene:lp_0701	lp_0701	608.686	445.439	588.285	499.681	609.464	271.55	371.974	1458.7	248.108	629.611	618.332	297.183	277.581	473.599	304.823	309.72	360.964	468.367	227.979	258.265	673.553	620.429	659.221	640.406	642.099	962.261	244.632	445.223	477.862	1042.91	1024.39	833.654	519.93	423.041	480.375	361.36
gene:lp_0703	tmk	260.659	247.107	358.18	443.443	372.658	321.701	252.502	718.117	790.466	273.298	306.63	269.874	121.211	537.599	264.755	191.917	357.604	763.657	468.085	384.949	235.909	247.088	267.038	261.415	248.852	278.435	141.404	378.32	156.406	381.146	147.61	167.837	395.433	263.097	372.219	162.736
gene:lp_0704	lp_0704	186.868	226.769	359.254	377.888	384.17	295.825	265.201	703.455	652.238	257.247	233.313	68.0819	124.318	168.773	89.9355	196.652	397.646	292.633	498.197	407.88	311.616	343.748	320.698	310.069	271.904	323.368	183.055	452.038	211.067	499.783	293.081	233.596	555.676	369.615	370.105	210.478
gene:lp_0705	holB	166.639	240.081	371.825	387.349	393.781	348.755	263.152	710.629	508.435	264.945	240.829	44.053	104.351	124.807	143.772	200.54	358.568	216.701	463.109	380.607	328.492	349.641	354.845	349.654	330.857	391.464	186.327	354.307	144.737	514.709	269.51	185.128	368.284	328.665	258.836	155.272
gene:lp_0706	lp_0706	174.224	245.635	375.694	354.846	393.06	404.594	298.075	678.958	396.591	242.876	297.101	107.601	192.315	251.497	110.367	163.17	556.398	240.497	861.003	541.771	380.695	356.648	400.104	451.667	477.549	465.818	323.138	434.063	182.873	693.862	404.942	247.23	526.095	431.605	322.408	225.758
gene:lp_0707	lp_0707	66.4366	104.792	86.9585	137.666	92.5841	168.621	164.226	326.628	90.6041	110.757	149.188	16.6979	16.8611	17.7402	17.5165	79.6793	48.1092	74.1641	29.3369	33.5388	102.17	115.247	132.365	281.855	201.422	241.387	32.4636	68.4469	56.4997	63.8475	96.4882	59.1472	77.8881	114.743	70.8007	53.48
gene:lp_0708	lp_0708	133.178	141.264	156.048	191.934	143.557	329.246	187.46	381.109	231.703	212.236	190.314	33.348	26.2175	20.2455	97.7297	92.8842	54.5831	114.67	34.4744	42.0875	112.391	121.465	144.722	341.709	265.871	320.854	47.2955	99.8518	93.2052	106.974	144.926	98.3468	88.5162	148.733	99.2127	102.226
gene:lp_0709	galE1	267.948	339.937	320.602	455.314	310.318	669.605	413.253	640.249	835.139	491.669	542.222	124.065	119.773	47.9305	180.54	160.908	143.877	249.933	142.045	146.573	323.35	363.013	402.843	558.875	455.02	586.174	112.282	399.815	325.424	504.733	392.015	449.593	318.442	416.138	378.936	360.455
gene:lp_0710	phnW	4.70668	5.24963	5.23297	10.2213	7.14254	4.43951	12.56	18.3805	13.503	20.8753	26.9731	13.604	4.63623	0	3.17131	13.3416	10.2845	1.94911	29.2257	18.5067	10.6614	9.8835	13.8139	6.9864	6.7641	8.41805	11.9581	5.33583	4.9348	4.99014	6.46387	4.33951	3.40261	7.41466	3.88473	4.43277
gene:lp_0711	phnX	2.59752	6.09929	5.41494	8.38519	7.61488	6.97591	9.81572	17.3009	19.6651	12.5427	21.5938	23.4618	2.36911	0	6.56318	9.6158	8.98666	8.06757	25.1405	16.8222	8.49423	8.16889	13.2733	7.05302	8.14466	5.64902	6.40534	3.65686	3.90654	3.52959	2.49266	5.54042	1.82906	5.0147	4.65595	4.47504
gene:lp_0712	phnE1	6.66698	2.84634	7.25695	9.60485	7.5253	8.25766	8.93514	15.4111	19.8031	17.3429	15.4373	13.1386	0.884468	0	2.04188	11.7954	12.2135	10.0396	33.673	28.0369	7.21894	9.00508	10.1648	7.46053	7.39052	7.38139	16.4857	2.87416	3.59401	3.70099	3.61898	3.96169	2.38997	5.67887	3.53708	4.7336
gene:lp_0713	phnE2	1.97036	9.63885	11.3747	14.6487	12.9873	12.5622	14.2583	21.944	28.892	28.6604	32.9925	9.49177	2.39613	0	2.21268	15.8386	10.0459	5.43973	16.5112	19.1408	10.4071	12.6859	13.7116	11.4136	10.4686	8.13596	15.9015	4.96388	2.9351	4.9361	6.83497	4.02195	3.20653	7.10067	5.09235	6.94001
gene:lp_0714	phnC	19.4915	15.7822	32.9089	36.2933	23.6447	36.101	37.6276	57.5115	29.0309	28.3679	38.9936	19.4267	4.16853	0	22.6434	30.7107	29.2096	16.7002	30.414	23.9405	31.5929	35.8171	46.4395	40.6367	56.3163	70.4896	26.5186	10.9066	6.06501	10.4635	16.053	5.96567	13.378	12.1799	16.1941	10.653
gene:lp_0715	phnD	72.3421	60.3782	70.6035	101.385	74.0023	104.7	67.0707	147.81	43.7674	52.8071	69.9844	14.2241	16.3381	37.78	24.869	60.796	76.7067	77.4425	74.9722	81.4988	55.3706	55.1798	68.3924	69.3072	89.0269	120.759	26.3303	60.1298	22.5422	39.9246	39.2498	12.5623	77.2995	43.7797	45.5415	30.4091
gene:lp_0717	gpp	132.05	178.499	150.173	191.877	145.738	293.618	271.905	422.826	68.9416	184.842	177.257	15.4732	30.7279	43.8373	100.997	163.373	153.714	147.794	107.664	134.881	204.647	201.357	237.612	206.526	235	304.303	39.4699	157.29	62.0171	114.665	82.1352	48.0315	208.149	145.665	104.853	91.2447
gene:lp_0718	rimI1	125.3	191.768	139.885	193.314	141.375	302.269	253.365	378.486	86.1596	151.74	164.004	12.9344	25.7951	109.934	93.4715	161.306	139.286	107.484	90.8989	127.724	172.084	181.38	224.607	230.576	245.163	314.48	32.6372	123.016	82.7619	99.7548	66.4193	53.1442	164.529	144.496	118.342	101.767
gene:lp_0720	rimI2	136.37	144.096	123.19	160.081	126.205	234.033	196.941	325.053	70.458	139.828	131.86	24.6349	18.6567	17.4484	91.8846	131.736	112.57	122.358	107.418	96.9902	140.673	159.953	192.576	187.446	203.899	284.869	43.8184	104.918	81.8419	94.787	119.329	59.269	120.459	126.605	113.976	103.504
gene:lp_0721	gcp	289.542	172.585	176.621	161.228	189.366	234.721	187.31	260.72	106.417	151.894	164.933	46.4934	28.8909	37.9965	85.0393	130.036	108.029	131.177	94.9366	105.09	162.8	171.342	193.858	271.65	192.654	293.398	48.3763	124.029	88.3459	208.771	117.791	119.872	109.574	136.27	125.111	104.484
gene:lp_0723	lp_0723	197.3	263.857	150.133	182.983	143.125	216.637	181.784	148.633	110.499	143.01	157.156	33.9895	31.7475	8.02467	165.513	113.656	132.539	218.601	79.0969	84.0758	182.362	180.803	193.913	82.2345	95.3684	72.1631	31.166	154.614	62.6582	72.1764	40.1908	47.4145	90.2153	86.2636	94.5757	69.0926
gene:lp_0725	lp_0725	326.363	793.259	338.114	489.427	323.886	555.316	981.484	682.855	280.671	500.835	619.169	33.1372	92.8544	23.4704	283.243	230.881	190.947	215.23	146.606	136.475	978.224	934.142	819.316	290.492	229.203	230.103	167.686	279.879	142.405	273.261	229.622	296.917	295.003	160.62	241.057	128.341
gene:lp_0726	lp_0726	113.282	188.653	82.1108	99.4984	97.3524	172.192	209.598	235.034	426.669	162.651	148.928	17.4163	17.8796	0	124.507	133.923	160.534	66.5418	119.569	104.434	177.032	164.093	161.762	72.1936	112.173	55.5767	48.7492	110.905	66.1458	140.116	68.258	24.7099	129.515	85.6185	106.5	65.7929
gene:lp_0727	groES	3031.05	11015.3	4532.61	9107.54	4945.37	3540.15	4754.85	6835.27	1298.89	3440.41	5471.22	4191.22	9517.09	2233.39	8183.85	8114.96	3822.52	6957.47	3964.43	4174.84	8341.56	8327.9	6799.01	9598.41	3311.48	2437.63	441.852	1185.05	662.392	1128.23	7240.18	3962.11	3944.82	630.168	2091.78	413.494
gene:lp_0728	groEL	7166.92	16245.3	6996.9	12880.1	7155.41	5214.64	5101.85	8461.53	2941.97	4362.52	6128.62	5204.54	13024.2	2177.51	13550.9	14842.3	5724.89	9974.95	5748.62	5736.37	9991.76	9231.76	9627.99	11820.1	5655.14	4757.9	1266.39	3481.8	1643.48	2537.85	13356.5	5413.57	5662.23	1767.19	4700.05	2267.69
gene:lp_0729	lp_0729	184.59	237.099	139.403	269.034	162.956	174.673	440.08	422.08	165.097	336.785	334.285	24.4739	19.7705	121.34	116.007	101.022	118.961	155.455	103.949	95.1812	262.428	279.933	295.063	251.312	271.424	355.232	17.1259	192.947	180.515	443.792	20.4645	81.7391	111.192	182.65	168.929	206.53
gene:lp_0730	tagO	113.269	156.534	103.028	128.254	91.0449	165.453	366.82	490.093	521.061	296.092	299.519	27.2824	66.6341	130.434	95.3993	162.733	641.9	93.813	683.876	597.106	245.982	259.169	223.152	226.192	220.002	330.088	31.8814	360.96	79.3752	271.977	53.0197	76.9608	387.806	101.416	157.151	106.569
gene:lp_0733	pstF	60.8304	53.9007	259.265	44.1242	230.384	32.9288	30.8065	35.2098	671.998	439.674	634.201	257.098	69.2992	167.412	17.4001	162.67	94.7431	66.5418	103.584	71.2776	43.2693	46.7247	35.0393	14.5019	35.5382	36.3429	16.467	7.61137	4.78388	11.8221	6.21684	11.7666	8.94395	10.8722	12.248	7.97529
gene:lp_0734	lp_0734	78.3706	65.2533	87.3731	53.5085	87.8919	201.567	80.2377	137.966	127.459	69.7933	62.8032	11.5571	6.71028	0	26.9415	38.9084	40.5787	66.2337	47.0432	31.2592	61.9975	59.5669	93.255	163.638	152.261	156.497	0.717096	60.8546	44.672	82.4786	0.477504	37.416	48.3526	83.74	63.8709	54.8338
gene:lp_0735	comFA	9.57513	8.54374	14.7403	11.0152	15.7634	42.6492	14.9617	23.0671	14.8949	13.9734	17.0717	5.53511	0.978111	0	2.58065	12.315	12.4604	4.75826	7.99165	8.85867	13.2375	11.2294	16.3263	29.5906	28.2886	25.0817	0	13.0828	8.29467	11.334	0	6.35101	11.0036	20.3882	14.3371	9.94168
gene:lp_0736	comFC	8.44484	4.5067	12.1467	13.5179	14.1215	26.7527	11.6999	19.121	9.91121	25.2629	39.6509	0	0.840244	0	2.58638	17.5392	7.82838	12.7169	7.14092	6.92512	12.3281	11.7106	13.6131	28.0165	16.4492	17.3104	0	12.2302	4.94828	6.02733	0	4.9125	6.55914	18.0226	9.66464	7.58305
gene:lp_0737	lp_0737	10758.9	7217.16	7246.62	5501.59	7075.27	4754.52	3533.5	9460	10495.9	4984.58	4535.41	29480.5	24449.8	14972.7	7922.33	6822.35	15406.2	5302.48	23943.2	20520	9224.08	8803.87	6673.4	976.169	4099.24	4135.14	11548.7	12887.9	10412.3	10548.9	11538.7	387.303	22930.8	13284.4	14088	15992.2
gene:lp_0739	secA	242.443	459.649	246.296	412.743	290.669	482.105	535.794	404.643	1029.27	575.503	613.694	117.214	93.9677	127.896	389.188	215.994	226.826	291.395	153.639	158.644	315.617	354.092	367.388	325.906	287.44	274.563	39.4439	237.578	382.688	252.384	99.5694	165.215	134.372	146.663	194.139	244.266
gene:lp_0740	prfB-N	152.007	259.586	195.005	186.548	217.648	228.102	291.828	207.466	569.344	341.049	479.069	0	25.2073	0	232.774	146.16	140.911	429.195	97.2708	81.5033	130.057	158.093	173.215	166.598	154.663	116.845	14.4567	154.1	227.423	171.547	130.252	135.965	90.8188	66.8734	91.5901	146.811
gene:lp_0741	prfB-C	204.098	224.611	172.077	227.407	208.347	229.579	325.795	254.165	412.275	318.931	336.253	48.8111	27.6365	140.757	300.721	143.915	114.099	335.683	73.8701	96.5336	144.186	160.056	200.28	204.101	167.722	130.352	10.6723	171.535	195.181	215.696	39.2232	148.132	113.071	102.888	105.996	143.143
gene:lp_0742	lp_0742	100.909	137.874	178.068	178.458	188.047	344.633	237.043	212.082	213.858	192.603	182.382	38.2092	30.7054	20.2971	74.2265	97.8751	97.1416	102.189	70.8971	85.307	127.838	141.155	147.998	139.4	199.999	146.615	11.854	182.092	90.4323	161.89	15.8245	71.0073	192.626	150.451	109.22	92.0607
gene:lp_0743	rrp3	215.386	269.567	331.33	279.538	339.473	527.083	344.541	350.884	293.892	289.852	287.172	30.819	45.9022	120.056	153.267	160.596	164.817	164.848	130.631	133.34	176.061	180.884	213.846	238.412	337.429	207.08	13.3858	289.532	132.504	234.825	30.9847	132.986	228.115	276.883	143.95	187.29
gene:lp_0744	hpk3	250.983	293.152	428.672	335.349	444.268	754.402	463.794	458.262	492.913	314.466	326.942	152.02	98.4325	119.007	157.918	240.009	259.243	249.141	204.318	201.47	227.069	227.142	283.295	346.304	507.801	378.331	0	393.406	185.529	362.516	0.377805	159.128	258.443	383.3	205.798	236.504
gene:lp_0746	pstE	136.059	135.78	186.434	67.3582	152.203	82.6119	42.5744	33.7282	1012.71	184.93	265.768	94.0401	29.5668	63.579	33.8798	255.029	222.902	71.0425	323.155	154.064	56.2413	61.1143	51.9311	17.5617	28.6473	49.8959	3.71318	12.799	6.04978	9.12991	6.76168	30.4047	16.4954	10.4155	16.2751	6.99813
gene:lp_0747	pstD	171.621	219.156	277.472	90.9191	259.825	117.672	59.0963	44.1489	1829.4	236.375	369	205.344	48.3818	188.217	54.4391	549.986	262.179	163.832	249.621	181.462	75.9673	72.2469	65.221	33.084	47.5131	91.3992	15.8224	19.4875	10.7745	17.3491	15.1146	53.7129	26.1052	21.0557	26.8044	27.2631
gene:lp_0748	pstC	144.629	184.24	228.607	82.4824	205.854	111.075	72.3725	47.1052	1596.9	182.211	254.78	135.395	47.424	161.826	41.4259	773.658	306.075	172.163	286.013	239.58	73.2295	75.7465	80.0455	37.8189	52.785	106.234	18.3771	30.4139	20.3802	19.41	21.9767	65.6701	37.7129	34.6666	42.1289	55.9537
gene:lp_0749	pstB	157.381	180.644	221.459	66.8387	187.552	108.788	80.1481	58.4622	1502.79	192.675	224.507	147.931	46.4468	78.5823	30.1744	883.728	435.531	105.974	398.379	299.793	78.8534	87.1325	87.6247	48.7787	64.5263	125.064	14.9156	39.4399	22.2123	21.6795	34.8169	85.8367	37.0603	37.7448	47.4165	66.719
gene:lp_0750	pstA	227.572	260.745	251.201	126.731	259.736	164.151	190.592	164.12	1556.06	305.489	364.21	222.887	93.7773	231.537	23.0927	1137.09	597.28	141.929	742.697	491.956	232.463	241.844	222.495	100.108	107.405	238.18	30.118	71.6135	39.9986	57.5411	54.4939	123.661	63.5191	63.3079	85.6057	99.9054
gene:lp_0751	phoU	413.029	450.219	395.262	304.604	367.69	333.705	564.985	506.406	1698.85	703.517	738.701	366.129	139.2	294.684	170.701	1213.78	768.673	308.384	1063.22	648.475	651.102	612.221	592.339	275.607	219.122	458.298	29.1428	135.84	73.4984	154.804	49.5731	165.176	124.768	117.621	150.858	134.731
gene:lp_0752	lp_0752	403.603	908.707	767.063	969.003	635.851	517.425	635.699	1308.19	1405.94	753.293	925.988	780.105	641.09	2448.14	833.735	997.824	1257.73	639.665	1491.88	1661.49	777	750.686	722.795	889.105	877.962	814.546	424.466	508.392	310.457	613.878	286.613	443.062	1080.81	497.139	677.122	387.821
gene:lp_0753	lp_0753	669.703	1122.89	1093.45	1262.32	914.138	810.94	778.909	1651.15	1587.78	795.092	955.655	1780.17	1218.01	4543.44	1116.17	1109.38	1592.6	1014.35	1969.05	2156.13	939.712	901.202	930.908	1222.34	1918.85	1219.65	172.667	811.059	536.969	965.569	117.513	640.138	1398.57	747.574	1080.43	915.538
gene:lp_0754	hprK	412.706	661.351	470.541	477.727	471.952	534.22	331.83	580.827	605.336	347.243	354.646	110.597	104.698	377.68	346.215	492.828	569.345	436.891	591.315	664.275	286.241	293.355	368.234	511.812	572.662	499.257	165.676	513.338	392.636	462.613	189.123	277.682	471.903	475.143	519.255	417.757
gene:lp_0755	lgt	760.524	1084.24	729.127	725.455	767.531	918.76	566.512	818.27	754.82	489.034	588.602	132.315	231.587	346.748	610.724	699.296	861.577	735.546	863.273	933.592	390.696	447.572	567.123	675.839	792.334	714.343	141.575	746.096	661.933	638.816	242.467	422.319	624.007	713.933	666.006	643.553
gene:lp_0756	gspA	735.781	991.873	590.705	557.765	586.028	811.312	611.914	766.85	796.779	554.418	576.449	150.958	187.568	219.057	393.107	628.834	817.106	481.103	774.339	862.34	443.256	482.452	603.716	612.012	709.467	676.019	303.237	808.981	733.659	655.251	687.693	593.518	522.122	769.078	734.916	688.525
gene:lp_0757	galU	1604.13	2072.6	1001.75	1095.75	1004.18	1903.65	1545.25	1520.42	2856.87	1820.92	2300.92	369.978	527.548	414.669	801.82	947.66	1177.95	890.078	1007.82	1088.09	1478.49	1546.56	1467.07	1111.12	1119.75	1198.59	995.787	1208.03	1345.42	928.149	1629.52	1450.72	728.104	935.157	1179.66	991.968
gene:lp_0758	lp_0758	95.1186	77.7257	114.865	178.205	95.5304	137.968	238.042	281.91	49.2407	82.7419	73.2193	49.4868	44.1406	163.569	120.489	189.944	751.37	116.595	620.76	603.161	238.724	260.263	283.091	226.455	297.122	237.669	130.783	124.325	48.2621	151.449	83.019	32.4615	150.46	49.9874	119.014	81.9794
gene:lp_0760	nox1	78.116	119.485	42.4216	54.244	44.186	52.5612	46.7889	49.6176	17.8865	45.1248	57.3434	0	7.49262	56.309	86.4873	92.9405	67.2251	34.9309	58.7291	50.1316	56.2399	66.3317	58.4637	38.3453	18.6865	44.9962	27.6242	38.4786	32.2111	26.7258	69.6991	15.6197	59.8779	48.8629	45.6795	29.1483
gene:lp_0761	trxB	410.039	634.646	1614.89	1770.18	1500.61	771.994	748.118	2158.94	461.608	1358.07	1291.23	215.339	480.792	923.594	2537.83	547.517	885.651	1208.97	767.49	685.704	1437.94	1323.89	1380.38	1351.75	1940.85	3555.68	115.139	410.795	406.739	634.654	168.904	281.711	396.27	289.568	368.122	199.851
gene:lp_0762	lp_0762	76.1345	112.934	177.312	270.039	175.996	166.019	179.402	260.164	139.091	97.215	129.741	70.9859	85.1195	201.111	79.9817	192.918	431.701	74.5836	508.746	409.372	165.24	136.31	162.326	319.027	444.077	453.384	1.71287	113.068	77.1791	186.335	4.74853	50.0751	117.828	130.736	112.273	105.591
gene:lp_0763	lp_0763	118.97	132.291	215.481	324.296	216.207	177.137	165.655	267.542	150.783	170.214	222.571	148.788	92.6495	316.151	107.909	239.567	420.211	66.3215	490.035	479.696	127.858	140.05	146.188	315.086	412.592	426.232	0.683853	120.192	78.1566	201.806	3.708	39.6694	138.548	119.316	132.374	110.233
gene:lp_0764	pgm	763.514	690.44	451.912	643.158	421.095	836.886	769.744	867.851	147.98	345.82	398.885	775.771	720.991	442.026	726.409	609.635	532.741	724.018	423.163	410.902	546.911	601.214	548.03	888.326	1059.55	1125.94	14.3419	460.52	344.524	483.703	30.3897	427.698	781.573	516.644	427.803	354.353
gene:lp_0765	lp_0765	68.511	111.669	52.3602	90.69	57.1453	165.756	135.33	152.054	35.5465	126.697	136.65	52.6653	29.249	44.7621	68.7519	66.6046	49.3698	48.2919	34.4464	45.6842	156.413	163.588	139.234	81.377	64.941	62.1344	0	118.377	87.3152	284.347	0.310852	68.3016	419.059	193.689	169.226	170.853
gene:lp_0766	nox2	99.9043	74.5396	44.1888	62.2184	44.2759	36.2666	60.6262	68.6312	41.084	55.9195	50.1796	0	4.45163	17.5639	145.163	33.3942	27.9585	91.5868	22.8146	25.2239	81.1427	90.1562	79.9388	31.8068	28.8944	26.9878	0	59.3614	69.6691	79.9089	1.75642	40.2204	69.3099	85.3546	105.639	46.6422
gene:lp_0769	aad	34.3613	34.8906	43.4852	44.6964	36.7274	17.0327	35.6426	66.1669	28.1232	99.652	87.3879	46.9741	134.168	71.2945	12.5147	51.8633	20.2925	34.6125	17.5099	20.8355	32.1962	33.2994	48.429	73.5648	53.5472	52.4146	18.5982	18.7856	19.5537	64.81	16.9525	24.4731	32.0865	44.5593	26.634	37.8655
gene:lp_0770	lp_0770	35.4995	48.2861	63.3132	67.5897	67.5883	38.7929	55.0435	48.4649	19.8721	50.1707	52.989	3.12824	8.05497	46.529	32.0867	44.5074	24.1747	46.6126	28.8408	37.6496	131.074	126.543	134.321	40.1552	55.8814	63.2088	13.4577	57.8682	88.7714	97.0566	71.9733	51.651	54.953	31.6484	68.9008	107.699
gene:lp_0771	lp_0771	53.5799	99.0535	180.218	200.892	178.174	196.119	159.381	258.93	161.236	260.867	280.068	28.8928	50.7648	392.912	40.4122	88.6434	49.704	125.844	54.8837	57.7093	164.987	186.86	213.683	182.804	132.758	251.998	1.19516	113.947	86.5261	225.542	0.682148	113.789	291.167	170.856	111.807	135.661
gene:lp_0772	uvrB	309.01	371.752	569.526	708.174	661.749	345.4	243.463	276.154	201.538	285.058	359.866	42.9759	32.7356	103.228	286.612	207.862	253.384	293.412	238.64	353.832	426.737	412.988	493.65	257.524	295.157	247.135	54.568	150.867	249.184	170.256	129.698	147.692	131.853	96.1961	183.957	183.128
gene:lp_0773	uvrA1	415.871	415.402	741.99	717.573	774.812	347.329	345.932	335.046	357.963	396.665	426.714	49.8218	49.713	128.15	279.354	285.565	342.242	441.818	406.785	470.954	413.278	435.811	535.561	312.618	352.894	361.719	43.0619	403.922	406.939	445.901	209.176	391.034	330.094	252.061	358.859	462.62
gene:lp_0774	luxS	871.281	1260.81	1346.77	1515.03	1255.45	1473.6	1881.82	1817.32	1427.81	1318.84	1604.89	1428.72	2198.51	650.528	1087.01	607.162	807.368	809.801	1032.36	901.823	1978.72	1962.44	1812.32	1437.4	1192.81	1257.98	195.483	968.781	1339.96	1520.17	1738.66	2466.04	2066.78	762.315	1290.29	1255.12
gene:lp_0775	argG	20.1245	40.1173	243.021	455.492	264.136	313.952	204.881	100.093	108.721	150.562	163.443	6.05907	67.1482	19.3118	91.8102	40.265	102.096	180.567	64.7151	142.065	92.5616	112.085	121.184	141.497	65.1828	134.858	8.64693	248.928	25.9785	18.1461	14.5198	22.1259	16.9656	45.2839	66.0626	16.276
gene:lp_0776	argH	18.4546	32.2836	243.614	477.027	275.387	332.861	169.345	96.1879	132.42	160.797	146.497	48.0065	81.7353	39.669	106.937	49.0324	141.943	324.036	99.1897	194.897	132.787	168.099	170.358	144.182	63.234	147.798	1.98581	286.583	36.4777	25.9312	12.3102	31.1349	13.3068	62.2872	74.6511	21.5774
gene:lp_0778	lp_0778	278.885	394.273	205.296	275.268	210.566	276.101	290.589	476.759	124.428	170.511	251.251	0	36.614	59.266	146.297	92.677	92.3099	247.766	121.783	95.7524	362.98	358.538	334.39	237.57	233.323	279.105	5.19194	324.337	342.841	580.457	33.9961	422.286	793.759	434.9	507.493	576.228
gene:lp_0779	lp_0779	237.145	493.598	507.417	488.708	549.169	378.022	468.91	319.522	104.525	185.562	230.752	16.9243	38.2382	53.9421	291.954	105.533	42.7907	351.6	28.1155	35.3479	340.492	367.539	418.18	513.31	414.885	364.382	59.6819	84.0396	91.2328	86.2057	173.067	185.004	80.9783	178.639	118.137	74.1118
gene:lp_0780	lp_0780	394.602	741.075	1096.59	782.24	1182.82	628.196	660.547	481.53	304.738	423.241	526.9	29.8962	67.3579	87.3464	327.557	177.449	87.8935	541.848	58.8961	65.0725	401.547	442.597	558.092	805.863	799.322	842.09	16.3859	289.319	265.029	266.038	62.2904	342.212	179.997	413.007	279.611	267.772
gene:lp_0781	lp_0781	432.671	784.47	1390.5	756.309	1411.29	633.908	748.473	566.258	453.069	679.428	703.797	60.201	78.013	93.8061	372.364	178.353	116.239	586.52	80.0072	81.1899	508.561	540.962	670.49	890.194	866.563	1042.36	90.9767	549.576	351.36	754.571	623.82	546.523	259.587	661.952	371.924	489.924
gene:lp_0783	lp_0783	405.348	1335.69	445.806	393.21	370.138	103.659	248.593	180.999	519.944	2121.75	1768.63	22.6528	10.6365	28.8801	302.057	269.11	258.172	188.243	168.733	158.94	1130.55	1219.51	1419.33	146.07	168.553	167.641	12.8375	382.67	431.766	5584.89	109.265	815.174	691.649	3491.02	570.158	296.114
gene:lp_0785	lp_0785	61.6532	95.1607	137.39	163.151	132.471	171.703	147.947	171.212	94.9612	158.928	147.406	7.68104	13.1854	48.9628	76.9946	66.1094	125.684	85.8389	84.4439	73.7587	181.04	152.144	220.106	294.25	274.791	206.208	0	120.783	128.351	206.926	0.181347	93.5448	168.065	124.061	107.586	105.606
gene:lp_0786	clpP	4494.62	7627.7	6298.43	5954.93	5410.76	5391.71	6076.31	8706.79	5186.33	6527.8	6258.23	3459.39	2375.5	2948.33	9355.28	2860.14	4829.65	5359.49	3931.57	3151.59	6998.27	6481.69	6142.45	5151.38	8096.65	3571.55	421.434	2113.33	3181.84	5482.02	4339.99	6593.81	6422.6	2481.84	4346.97	2203.98
gene:lp_0787	rpoN	48.0251	91.3971	49.354	71.3784	49.2453	51.7528	71.8889	85.5725	22.7163	41.2819	53.9814	8.39575	5.51057	47.5723	36.5341	37.8509	38.1765	32.0773	30.3777	25.6198	69.4834	73.3874	77.7427	112.118	64.0593	93.2849	7.75622	26.1146	23.9315	20.1413	10.8691	14.7098	24.6174	17.626	35.3889	35.3639
gene:lp_0788	cggR	724.584	1268.39	649.113	1221.63	696.546	964.634	1990.88	1952.05	834.097	1225.99	1454.82	391.867	290.361	639.909	3474.7	1528.52	880.083	1016.84	1079.93	963.625	1902.27	1940.15	1750.35	725.972	796.597	715.361	916.599	504.742	1073.96	464.719	599.913	490.951	513.449	342.474	552.092	430.41
gene:lp_0789	gapB	19340.3	21300.1	19405.2	24535.1	18640.1	33912.4	33250.5	15335.8	24823.2	20171.7	19319.1	51083.4	85287.6	43360	9894.61	12059.3	6362.12	10448.8	5613.47	6420.19	21878.1	20796.7	18533.5	32897	32720.5	22830.3	24008.8	18282.3	24097	17875.9	35185.4	26124.3	12224.5	5610.83	18264	15183.9
gene:lp_0790	pgk	6244.32	7038.88	5190.28	6409.73	5092.08	9527.05	6831.08	3946.53	6721.85	5776.6	6181.89	3109.53	12558.1	4656.15	2510.6	3822.03	1361.46	2675.78	1150.26	1490.6	3557.39	3920.63	3832.69	10578.7	6135.58	7004.5	5052.75	4264.08	6697.5	3577.95	11440.6	8041.25	2279.81	1915.87	4695.97	3637.83
gene:lp_0791	tpiA	10335.4	9534.07	6738.68	8039.44	6729.1	12773.9	7560.76	5007.95	9286.05	7288.1	8618.57	3147.55	11926.4	6163.9	3760.73	4741.25	1550.7	3491.8	1303.76	1628.11	4434.63	5068.24	4785.36	13868	7937.22	9449.97	4953.1	5966.67	8472.06	4392.12	13453.8	11562.7	3381.73	2554.71	6938.47	5242.22
gene:lp_0792	enoA1	11121.7	10334.6	7689.17	9422.13	7670.46	15631.4	11547.1	8071.35	11234.2	8441.99	8880.34	6869.15	15188	7938.5	4671.25	5912.89	2857.26	4396.9	2702.51	3011.24	7279.68	7696.1	7643.13	17102.3	12520.6	12964.8	7460.38	9794.22	10923.5	6445.31	20894.7	14325	6221.39	4407.59	10085.7	9211.56
