		MRS broth		Tomato juice			Wheat flour hydrolyzate			Pineapple juice			Drosophila sp. Extract			Faecal extract						Bee Extract			Olive Extract			Cheese broth	MRS broth								
GeneSymbol	GeneName	WCFS1_MRS	LB16_MRS	TJ22	TJ20	TJ19	WFH19	WFH20	WFH1W	PJ16	PJ20	PJ1	DE12	DE12II	DE24	FEO3	FEO13	FEO17	FEV3	FEV11	FEV21	BEE1ST	BEE2ST	BEE3ST	OE1	OE2	OE3	CB5	FEV11_MRS	FEO3_MRS	DE12_MRS	CB5_MRS	OE1_MRS	WFH19_MRS	TJ22_MRS	PJ16_MRS	BEE1ST_MRS
gene:CAG17852	orf21	213.52	42.2503	11.285	0	12.6873	0	0	16.8641	0	422.192	339.477	0	0	0	0	9.13501	37.278	29.8052	26.5372	34.4036	0	0	0	0	76.0608	0	16.4932	14.3989	0	0	4.70682	0	0	5.43445	0	0
gene:CAG17853	traI	215.677	25.2078	0	0	0.111564	0	0	17.4326	0	277.508	297.977	5.25914	10.8866	130.373	10.6252	97.2006	33.5738	15.07	20.3095	29.3472	0	0	0	5.55102	39.4931	9.57299	75.9961	6.6332	11.5298	4.06988	41.9061	3.77251	0.0227776	0	0	0.0278643
gene:CAG17854	orf23	315.21	2.96061	0	0	0	0	0	1.42244	0	24.3529	18.7332	0	0	0	0	3.73402	0	15.664	0.316967	0	0	0	0	0	1.8669	0	16.5822	0	0	0	1.93591	0	0	0	0	0
gene:CAG17855	traL	246.42	0	0	0	0	0	0	41.8261	0	0	0	0	0	213.285	0	0	2.93271	32.5147	7.13619	5.58778	0	0	0	0	33.1937	0	36.8277	0	0.10381	0	36.3723	0.0415562	0	0	0	0
gene:CAG17856	orf25	248.739	0	0	0	0	0	0	0.119923	0	0	0	0	0	21.2172	0	0	0	22.8904	0	0	0	0	0	0	0	0	2.89133	0	0	0	7.89764	0	0	0	0	0
gene:CAG17857	traK	245.394	34.8062	0	0	0	0	0	13.176	0	0	0	0	0	326.257	0	0	2.99555	17.0315	8.35749	4.99408	0	0	0	0	21.6421	0	18.9518	0	0	0	24.0603	0	0	0	0	0
gene:CAG17858	traJ	268.455	47.794	0	0	0	0	0	8.68865	0	0	0	0	0	658.815	0	0	9.34918	18.2248	15.2124	10.4335	0	0	0	0.0796647	33.9231	0	15.7853	0	0	0	18.0191	0.0757012	0.103297	0	0	0
gene:CAG17859	orf28	221.888	78.3176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.3867	0	9.5322	3.573	0	0	0	0	28.9891	0	0	0	0	0	0	0	0	0	0	0
gene:CAG17860	orf29	272.519	31.5031	0	0	0	0	0	4.94826	0	0	0	0	0	51.4981	0	0	2.2394	3.47245	8.01034	5.04256	0	0	0	0	14.8259	0	4.51144	0	0	0	9.58452	0	0	0	0	0
gene:CAG17861	orf30	180.363	8.95487	0	0	0	0	0	1.98573	0	0	0	0	0	0	0	0	0	11.1479	0.902327	0.103773	0	0	0	2.33904	0.625246	0	2.54802	0	0	0	4.74563	2.37702	0	0	0	0
gene:CAG17862	traF	221.671	30.8704	0	0	0	0	0	5.67287	0	0	0	0	0	106.535	0	0	3.6352	33.2709	9.08885	5.15245	0	0	0	6.71642	26.9728	0	20.958	0	0	0.0245053	17.3199	8.79446	0	0	0	0
gene:CAG17863	traE	242.291	22.2991	0	0	0	0	0	4.29886	0	0	0	0	0	3.94079	0	0	2.9911	6.37734	7.74285	4.45237	0	0	0	24.9775	31.9902	0	43.0386	0	0	0	7.00596	53.1385	0.0481951	0	0	0.058958
gene:CAG17864	traD	239.474	11.0619	0	0	0	0	0	4.22454	0	0	0	0	0	204.939	0	0	5.52816	13.0059	25.0678	10.7146	0	0	0	4.32072	49.033	0	5.39778	0	0	0	4.01847	14.3701	0	0	0	0
gene:CAG17865	traC	479.662	175.985	0	0	0	0	0	6.19434	0	0	0	0	0	284.942	0	0	28.074	35.4706	97.2565	47.5469	0	0	0	9.92319	536.646	0	39.2566	0.105777	0	0	121.285	60.113	0	0	0	0
gene:CAG17866	traB	818.95	95.0632	0	0	0.354615	0	0	18.2025	0	0	0	0	0	852.478	0	0	34.4489	25.5473	129.886	49.9408	0	0	0	12.7307	8.73147	0	25.3545	0	0	0	130.242	82.665	0.1448	0	0	0
gene:CAG17867	orf36	595.726	256.222	0	0	0.193741	0	0.0524136	56.3051	0	0	0	0	0	232.872	0	0	16.5705	52.3408	64.6072	35.0803	0.089608	0.0834617	0	9.0297	1.76137	0	39.5417	0	0	0	150.794	54.5554	0	0.0867585	0	0
gene:CAG17868	orf37	327.127	163.318	0	0	0	0	0	53.7263	0	0	0	0	0	46.9408	0	0	116.906	6.33031	402.733	211.077	0.162563	0	0	0	2.39655	0	140.272	0.226531	0.394111	0.205151	500.839	0	0	0	0	0.351139
gene:CAG17869	traA	188.827	62.5821	0	0	0	0	0	0.349119	0	12.9504	11.7409	0	0	123.536	2.5412	38.4016	62.0825	14.5772	173.572	96.4795	0	0.0249049	0	1.42005	15.5049	1.67981	50.203	0.838363	1.14523	0	25.4581	1.0553	0	0.0517773	0	0.0288783
gene:CAG17870	orf39	108.576	283.922	0	336.017	0	0	0.153497	113.926	0	273.616	333.463	17.831	19.8058	0	174.581	663.985	862.121	0	779.78	602.143	0	0	0.431098	475.101	938.808	213.289	315.686	92.3357	65.9535	19.208	480.552	242.456	0	0	0	0.283419
gene:CAG17871	orf40	137.445	365.261	0	638.832	1.28119	0	0.115535	129.755	0	264.41	268.077	0	6.09855	0	394.214	2727.54	1846.61	130.758	1418.07	1177.96	0	0.183975	0	849.29	2270.5	405.486	435.254	122.898	134.242	0.872442	646.888	338.917	0.174383	0.191242	0	0.213326
gene:CAG17872	orf41	52.6431	2170.94	0	1454.14	4.91732	0	0.716319	731.527	0	434.255	500.486	0	1.20035	0	9371.94	94841.9	11302.4	252.067	15418.2	10134.6	3.14908	0.977694	0.431098	845.259	2366.51	503.971	13.2765	549.748	3643.06	0.110391	5.75343	1139.5	0.772269	0.338771	0.137152	1.88946
gene:CAG17873	tnpR2	38.8434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:CAG17874	tnpA	19.9044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.01731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene:CCC79937	lp_2845	16.9993	13.842	11.9592	50.2095	15.5085	6.03444	55.8729	412.876	32.1634	2335.64	1755.97	35.662	18.6054	33.6781	9.23707	26.912	11.7159	27.2505	5.10065	6.08802	271.171	252.082	525.27	1228.02	587.423	1424.44	12.1292	157.164	49.7184	923.564	57.8618	32.0709	36.9145	288.802	8.91488	23.9962
gene:CCC80190	lp_3156	21.1121	0.563337	26.6736	33.7949	22.7269	49.7842	24.6533	31.7295	22.0249	20.5948	40.0582	0	7.35214	0	9.69893	15.022	16.7751	15.8961	17.611	20.4202	0	0.190107	0	46.6941	21.063	39.0686	0	20.8339	27.9578	10.8827	0	27.7319	15.9474	16.1057	19.8413	0
gene:lp_0001	dnaA	257.967	356.682	282.584	429.106	312.248	588.259	607.434	519.697	192.114	504.842	480.538	46.5326	39.2483	75.6097	271.825	209.304	714.505	263.541	688.697	501.598	570.708	548.897	563.137	331.253	458.674	267.76	104.168	320.817	219.645	228.872	80.5869	72.5876	271.575	264.91	315.589	162.544
gene:lp_0002	dnaN	365.926	520.079	611.527	645.126	690.237	820.129	1041.51	890.859	229.305	788.237	754.174	137.955	134.826	76.7729	241.963	291.359	963.134	304.954	737.988	619.371	788.831	829.638	860.558	682.704	866.433	744.708	33.4242	466.322	353.424	453.361	61.0702	175.399	433.865	398.489	382.573	309.755
gene:lp_0004	lp_0004	628.934	443.303	575.771	733.088	478.13	803.045	531.178	986.67	267.899	353.279	429.307	144.019	180.976	170.01	596.857	3235.2	4352.39	550.25	5946.37	5177.96	636.108	680.657	605.859	646.053	1112.56	431.989	341.558	801.087	956.16	950.017	563.308	265.434	1130.87	913.672	932.739	554.485
gene:lp_0005	recF	467.537	433.725	522.277	720.236	460.398	777.719	359.592	587.021	181.412	336.436	418.778	106.51	49.2383	297.041	395.716	557.162	711.712	492.143	452.078	432.234	330.898	319.152	326.635	490.955	691.388	395.222	87.5661	505.442	370.765	531.61	82.6305	153.872	607.146	581.609	412.405	282.301
gene:lp_0006	gyrB	968.01	686.056	900.156	1026.34	913.181	1235.78	493.896	642.805	499.463	508.363	508.619	165.397	116.715	306.489	677.879	818.745	989.899	824.442	579.707	660.542	377.271	388.065	422.988	719.645	946.838	679.054	241.05	630.011	808.849	543.456	270.736	359.684	785.769	817.612	613.627	423.291
gene:lp_0007	gyrA	910.4	755.637	874.578	848.116	923.021	686.665	619.511	598.823	518.353	584.997	603.187	203.156	140.795	217.39	853.142	871.227	1397.94	792.385	1055.66	993.248	429.643	439.241	511.576	572.702	743.406	498.665	115.233	1104.81	1103.87	679.757	135.318	629.464	513.363	852.704	776.505	677.489
gene:lp_0009	rpsF	1729.08	4211.17	2610.03	3184.49	3082.42	3864.61	5571.49	4057.28	7262.44	5490.15	5274.65	349.487	865.872	106.086	1908.75	1079.39	740.621	1974.3	762.968	771.085	3482.33	3355.2	3240.09	1721.39	1752.59	2268.5	851.394	2699.7	3918.44	1594.11	4655.34	3041.51	1418.4	1108.04	2023.05	1446.88
gene:lp_0010	ssb	2017.82	4590.78	3222.15	4110.87	3847.79	4338.72	5774.81	3960.43	8065.39	5074.3	5267.87	391.217	899.187	263.896	2148.24	1286.72	753.419	2206.47	637.541	756.714	3705.37	3465.51	3482.13	1899.19	1977.86	2684.42	788.592	3156.45	4747.69	1923.88	5296.98	3328.24	1726.57	1422.84	2252.85	1727.7
gene:lp_0011	rpsR	1911.02	4352.53	3240.26	3936.03	3838.96	4191.26	6157.44	4109.43	8124.47	5787.39	5023.05	426.589	512.124	134.286	2114.12	975.018	710.819	2200.3	571.114	690.32	3809.72	3693.09	3753.01	1912.68	2100.78	2849.31	579.051	3153.74	5011.73	2075.82	5455.27	3439.6	1913.27	1583.81	2400.04	1912.62
gene:lp_0012	lp_0012	122.279	533.601	255.391	400.25	261.504	385.337	614.646	840.016	177.291	391.883	506.331	66.9658	151.3	158.102	237.631	356.47	184.814	295.298	135.062	147.843	531.926	555.005	519.146	300.27	380.25	279.37	235.071	208.752	120.639	292.453	191.394	106.629	332.329	261.269	268.918	103.809
gene:lp_0013	rplI	306.577	672.2	455.421	597.565	456.349	801.462	756.831	1022.42	314.876	482.817	586.778	181.852	250.821	158.075	358.411	468.003	210.522	459.513	117.332	150.285	682.231	706.255	671.985	772.64	793.698	865.122	344.662	264.456	181.186	419.272	533.268	200.866	448.08	406.711	322.066	174.875
gene:lp_0014	dnaC	419.292	668.391	370.493	519.516	377.77	843.234	576.486	795.149	386.827	404.264	456.943	404.669	270.78	195.422	327.109	359.708	184.261	536.117	126.982	153.25	509.052	547.185	505.765	614.072	688.396	957.437	120.001	247.681	158.605	331.918	193.781	214.157	307.555	297.224	260.915	162.808
gene:lp_0015	lp_0015	37.68	61.1387	56.2137	81.7537	61.1328	125.459	96.5977	75.0618	24.5621	93.2821	103.94	12.2369	6.17827	13.0008	51.3473	39.4059	26.1083	64.8701	14.6877	19.3888	59.5662	73.0934	71.7071	55.3328	53.5056	52.3567	0.885825	23.3394	16.4457	29.9719	3.46692	14.2738	27.4269	28.8142	23.5074	20.1311
gene:lp_0016	proB	50.0023	105.975	104.55	137.212	97.5004	180.353	156.123	115.978	45.2297	161.197	146.562	0	13.0301	49.8525	70.0073	64.0137	40.5188	69.9189	29.7115	30.34	91.2267	103.301	111.178	101.328	94.0595	104.801	15.1399	34.0184	28.6293	52.5953	46.8621	23.0553	34.1424	41.388	36.4355	29.4607
gene:lp_0017	proA	72.7747	115.396	151.308	171.838	141.077	206.238	181.959	140.829	87.4597	161.267	150.027	24.1776	40.8932	77.0602	142.314	76.6191	34.8297	154.15	28.2837	29.3115	147.58	156.431	163.342	128.738	120.324	169.373	57.8817	63.7161	74.5477	116.528	242.636	82.4474	79.5961	90.2194	80.1642	94.4411
gene:lp_0018	lp_0018	38.7773	72.241	601.201	481.718	528.035	130.485	99.773	72.8379	228.166	596.98	626.023	4.63142	14.147	24.6025	142.515	139.11	50.6521	195.088	32.3065	34.9122	233.046	207.855	261.626	213.321	127.45	167.47	22.1275	54.2593	26.6877	155.909	33.1592	68.7306	63.9078	101.334	109.918	36.4765
